<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2625.33	2625.70	2624.34	2624.79	619	0	13
2025.01.02	01:15:00	2624.79	2625.05	2623.45	2623.63	526	0	13
2025.01.02	01:30:00	2623.63	2623.95	2621.94	2621.94	404	0	10
2025.01.02	01:45:00	2621.94	2624.48	2621.78	2623.76	432	0	7
2025.01.02	02:00:00	2623.76	2626.14	2622.70	2625.70	719	0	7
2025.01.02	02:15:00	2625.70	2626.52	2625.17	2626.37	684	0	7
2025.01.02	02:30:00	2626.37	2627.52	2625.45	2626.89	636	0	7
2025.01.02	02:45:00	2626.89	2627.82	2625.37	2625.40	1150	0	7
2025.01.02	03:00:00	2625.40	2630.88	2623.87	2629.66	3167	0	13
2025.01.02	03:15:00	2629.58	2633.09	2629.45	2632.66	2026	0	11
2025.01.02	03:30:00	2632.66	2634.57	2632.49	2633.63	1777	0	7
2025.01.02	03:45:00	2633.47	2633.70	2631.70	2633.01	2346	0	7
2025.01.02	04:00:00	2633.01	2634.81	2632.68	2634.67	1747	0	7
2025.01.02	04:15:00	2634.67	2636.60	2633.95	2635.68	1197	0	7
2025.01.02	04:30:00	2635.67	2635.82	2632.72	2633.52	1924	0	7
2025.01.02	04:45:00	2633.52	2635.40	2632.37	2634.81	1539	0	7
2025.01.02	05:00:00	2634.87	2635.48	2633.20	2633.24	1434	0	7
2025.01.02	05:15:00	2633.24	2634.82	2633.07	2633.46	1302	0	7
2025.01.02	05:30:00	2633.46	2634.21	2632.36	2633.48	845	0	7
2025.01.02	05:45:00	2633.48	2633.92	2632.78	2633.66	547	0	7
2025.01.02	06:00:00	2633.66	2633.72	2632.14	2632.25	779	0	7
2025.01.02	06:15:00	2632.25	2633.20	2632.12	2632.41	714	0	7
2025.01.02	06:30:00	2632.41	2632.93	2632.06	2632.10	662	0	7
2025.01.02	06:45:00	2632.10	2634.22	2631.15	2634.04	896	0	7
2025.01.02	07:00:00	2634.04	2634.35	2633.04	2633.42	803	0	7
2025.01.02	07:15:00	2633.42	2635.28	2633.38	2634.88	905	0	7
2025.01.02	07:30:00	2634.88	2636.47	2634.53	2634.99	1523	0	7
2025.01.02	07:45:00	2634.99	2635.36	2634.03	2634.05	1688	0	7
2025.01.02	08:00:00	2634.05	2634.05	2631.54	2631.80	1729	0	7
2025.01.02	08:15:00	2631.80	2634.43	2631.40	2634.30	1384	0	7
2025.01.02	08:30:00	2634.30	2634.75	2633.44	2634.18	1468	0	7
2025.01.02	08:45:00	2634.18	2635.45	2633.58	2634.25	1422	0	7
2025.01.02	09:00:00	2634.26	2635.11	2633.61	2634.41	1259	0	7
2025.01.02	09:15:00	2634.41	2635.97	2633.58	2634.39	1317	0	7
2025.01.02	09:30:00	2634.39	2634.42	2633.02	2633.70	1260	0	7
2025.01.02	09:45:00	2633.70	2636.10	2633.08	2636.06	1132	0	7
2025.01.02	10:00:00	2636.06	2637.09	2634.07	2635.27	1897	0	7
2025.01.02	10:15:00	2635.27	2635.27	2631.37	2633.40	1868	0	7
2025.01.02	10:30:00	2633.40	2636.87	2631.15	2636.20	1490	0	7
2025.01.02	10:45:00	2636.20	2637.74	2635.31	2636.51	1446	0	7
2025.01.02	11:00:00	2636.51	2639.82	2636.51	2638.15	2199	0	7
2025.01.02	11:15:00	2638.15	2640.04	2637.26	2637.48	1440	0	7
2025.01.02	11:30:00	2637.48	2638.43	2636.77	2637.23	1322	0	7
2025.01.02	11:45:00	2637.23	2637.99	2636.02	2636.09	1226	0	7
2025.01.02	12:00:00	2636.11	2638.92	2632.77	2638.86	1791	0	7
2025.01.02	12:15:00	2638.86	2646.27	2638.06	2644.82	2514	0	7
2025.01.02	12:30:00	2644.80	2645.63	2643.12	2644.02	1951	0	7
