<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.04.03	01:00:00	3142.31	3146.48	3124.03	3144.54
2025.04.03	01:15:00	3144.6	3147.39	3132.07	3136.77
2025.04.03	01:30:00	3136.77	3144.58	3135.84	3142.53
2025.04.03	01:45:00	3142.58	3146.13	3141.16	3145.89
2025.04.03	02:00:00	3145.95	3157.04	3145.95	3156.82
2025.04.03	02:15:00	3157.02	3159.99	3155.79	3159.79
2025.04.03	02:30:00	3159.74	3161.22	3157.21	3161.21
2025.04.03	02:45:00	3160.81	3167.67	3159.44	3162.69
2025.04.03	03:00:00	3162.72	3164.92	3149.42	3150.55
2025.04.03	03:15:00	3150.5	3152.12	3140.67	3148.23
2025.04.03	03:30:00	3148.23	3155.59	3144.48	3146.8
2025.04.03	03:45:00	3146.79	3153.02	3146.2	3151.38
2025.04.03	04:00:00	3151.38	3156.5	3148.36	3151.89
2025.04.03	04:15:00	3151.9	3154.57	3148.03	3152.46
2025.04.03	04:30:00	3152.44	3163.05	3152.22	3160.05
2025.04.03	04:45:00	3160.03	3160.41	3150.77	3153.51
2025.04.03	05:00:00	3153.31	3155.38	3150.45	3151.97
2025.04.03	05:15:00	3152.05	3154.66	3148.05	3150.08
2025.04.03	05:30:00	3150.08	3151.06	3144.71	3148.84
2025.04.03	05:45:00	3148.86	3149.11	3142.26	3145.19
2025.04.03	06:00:00	3145.37	3152.27	3144.9	3149.22
2025.04.03	06:15:00	3149.21	3149.42	3146.47	3148.27
2025.04.03	06:30:00	3148.35	3149.92	3146.23	3147.86
2025.04.03	06:45:00	3147.86	3150.26	3147.04	3148
2025.04.03	07:00:00	3148	3149.7	3147.08	3149.22
2025.04.03	07:15:00	3149.22	3149.75	3147.29	3148.09
2025.04.03	07:30:00	3148.09	3148.19	3145.84	3146.05
2025.04.03	07:45:00	3146.05	3146.11	3139.14	3140.4
2025.04.03	08:00:00	3140.38	3141.01	3135.41	3136.05
2025.04.03	08:15:00	3136.06	3136.11	3127.57	3130.64
2025.04.03	08:30:00	3130.64	3133.97	3126.32	3127.81
2025.04.03	08:45:00	3127.74	3133.35	3124.19	3131.86
2025.04.03	09:00:00	3131.84	3134.05	3127.87	3130.93
2025.04.03	09:15:00	3130.99	3131.4	3121.55	3122.4
2025.04.03	09:30:00	3122.29	3126.25	3116.52	3124.48
2025.04.03	09:45:00	3124.49	3131.68	3122.25	3127.61
2025.04.03	10:00:00	3127.68	3128.05	3119.92	3121.04
2025.04.03	10:15:00	3121.06	3125.87	3120.1	3125.04
2025.04.03	10:30:00	3125.01	3126.45	3121.21	3122.39
2025.04.03	10:45:00	3122.33	3130.21	3121.88	3129.13
2025.04.03	11:00:00	3129.24	3132.16	3127.34	3129.56
2025.04.03	11:15:00	3129.56	3131.61	3128	3128.43
2025.04.03	11:30:00	3128.43	3130.81	3128.01	3128.67
2025.04.03	11:45:00	3128.7	3129.95	3126.17	3129.15
